spec_id,original_path,candidate_path,exists_after_remap,is_test_path,notes
SPEC-004-1-1,src/review-gate/rubrics/index.ts,,false,false,
SPEC-004-1-2,src/review-gate/section-mappings.ts,,false,false,
SPEC-004-1-2,src/review-gate/score-aggregator.ts,,false,false,
SPEC-004-1-2,src/review-gate/approval-evaluator.ts,,false,false,
SPEC-004-1-3,src/review-gate/pre-review-validator.ts,,false,false,
SPEC-004-1-3,tests/review-gate/pre-review-validator.test.ts,,false,true,
SPEC-004-1-3,tests/review-gate/score-aggregator.test.ts,,false,true,
SPEC-004-1-3,tests/review-gate/approval-evaluator.test.ts,,false,true,
SPEC-004-1-3,tests/review-gate/rubric-registry.test.ts,,false,true,
SPEC-004-1-3,tests/review-gate/fixtures/tdd-worked-examples.ts,,false,true,
SPEC-004-2-1,src/review-gate/reviewer-roles.ts,,false,false,
SPEC-004-2-1,src/review-gate/panel-assembly-service.ts,,false,false,
SPEC-004-2-2,src/review-gate/reviewer-agent-pool.ts,,false,false,
SPEC-004-2-2,src/review-gate/reviewer-prompt-assembler.ts,,false,false,
SPEC-004-2-2,src/review-gate/blind-scoring-context-filter.ts,,false,false,
SPEC-004-2-3,src/review-gate/reviewer-executor.ts,,false,false,
SPEC-004-2-3,src/review-gate/reviewer-output-validator.ts,,false,false,
SPEC-004-2-4,src/review-gate/disagreement-detector.ts,,false,false,
SPEC-004-2-4,tests/review-gate/panel-assembly-service.test.ts,,false,true,
SPEC-004-2-4,tests/review-gate/blind-scoring-context-filter.test.ts,,false,true,
SPEC-004-2-4,tests/review-gate/reviewer-prompt-assembler.test.ts,,false,true,
SPEC-004-2-4,tests/review-gate/reviewer-output-validator.test.ts,,false,true,
SPEC-004-2-4,tests/review-gate/disagreement-detector.test.ts,,false,true,
SPEC-004-2-4,tests/review-gate/reviewer-executor.test.ts,,false,true,
SPEC-004-3-1,src/review-gate/iteration-controller.ts,,false,false,
SPEC-004-3-1,src/review-gate/convergence-tracker.ts,,false,false,
SPEC-004-3-1,src/review-gate/quality-regression-detector.ts,,false,false,
SPEC-004-3-2,src/review-gate/feedback-formatter.ts,,false,false,
SPEC-004-3-2,src/review-gate/finding-tracker.ts,,false,false,
SPEC-004-3-3,src/review-gate/human-escalation-gateway.ts,,false,false,
SPEC-004-3-3,src/review-gate/trust-level-manager.ts,,false,false,
SPEC-004-3-3,src/review-gate/human-decision-handler.ts,,false,false,
SPEC-004-3-4,src/review-gate/review-gate-service.ts,,false,false,
SPEC-004-3-4,tests/review-gate/review-gate-service.test.ts,,false,true,
SPEC-004-3-4,tests/review-gate/iteration-controller.test.ts,,false,true,
SPEC-004-3-4,tests/review-gate/convergence-tracker.test.ts,,false,true,
SPEC-004-3-4,tests/review-gate/feedback-formatter.test.ts,,false,true,
SPEC-004-3-4,tests/review-gate/human-escalation-gateway.test.ts,,false,true,
SPEC-004-4-1,src/review-gate/smoke-test/smoke-test-executor.ts,,false,false,
SPEC-004-4-1,src/review-gate/smoke-test/coverage-checker.ts,,false,false,
SPEC-004-4-1,src/review-gate/smoke-test/scope-containment-checker.ts,,false,false,
SPEC-004-4-1,src/review-gate/smoke-test/contradiction-detector.ts,,false,false,
SPEC-004-4-1,src/review-gate/smoke-test/types.ts,,false,false,
SPEC-004-4-2,src/review-gate/metrics/metrics-types.ts,,false,false,
SPEC-004-4-2,src/review-gate/metrics/metrics-collector.ts,,false,false,
SPEC-004-4-2,src/review-gate/metrics/pipeline-aggregator.ts,,false,false,
SPEC-004-4-2,src/review-gate/metrics/metrics-store.ts,,false,false,
SPEC-004-4-3,src/review-gate/metrics/calibration-tracker.ts,,false,false,
SPEC-004-4-3,tests/review-gate/calibration/calibration-runner.ts,,false,true,
SPEC-004-4-3,tests/review-gate/calibration/gold/prd-gold.md,,false,true,
SPEC-004-4-3,tests/review-gate/calibration/gold/tdd-gold.md,,false,true,
SPEC-004-4-3,tests/review-gate/calibration/silver/prd-silver.md,,false,true,
SPEC-004-4-3,tests/review-gate/calibration/silver/tdd-silver.md,,false,true,
SPEC-004-4-3,tests/review-gate/calibration/bronze/prd-bronze.md,,false,true,
SPEC-004-4-3,tests/review-gate/calibration/bronze/tdd-bronze.md,,false,true,
SPEC-004-4-3,tests/review-gate/calibration/failing/prd-failing.md,,false,true,
SPEC-004-4-3,tests/review-gate/calibration/failing/tdd-failing.md,,false,true,
SPEC-004-4-3,tests/review-gate/calibration/expectations.ts,,false,true,
SPEC-004-4-4,tests/review-gate/adversarial/manipulation-tests.ts,,false,true,
SPEC-004-4-4,tests/review-gate/adversarial/contradiction-tests.ts,,false,true,
SPEC-004-4-4,tests/review-gate/adversarial/traceability-tests.ts,,false,true,
SPEC-004-4-4,tests/review-gate/adversarial/adversarial-runner.ts,,false,true,
SPEC-004-4-4,tests/review-gate/adversarial/fixtures/,,false,true,
SPEC-004-4-4,tests/review-gate/smoke-test/coverage-checker.test.ts,,false,true,
SPEC-004-4-4,tests/review-gate/smoke-test/scope-containment-checker.test.ts,,false,true,
SPEC-004-4-4,tests/review-gate/smoke-test/contradiction-detector.test.ts,,false,true,
SPEC-004-4-4,tests/review-gate/smoke-test/smoke-test-executor.test.ts,,false,true,
SPEC-004-4-4,tests/review-gate/metrics/metrics-collector.test.ts,,false,true,
SPEC-004-4-4,tests/review-gate/metrics/pipeline-aggregator.test.ts,,false,true,
SPEC-004-4-4,tests/review-gate/metrics/calibration-tracker.test.ts,,false,true,
SPEC-006-1-1,src/parallel/types.ts,,false,false,
SPEC-006-1-1,src/parallel/config.ts,,false,false,
SPEC-006-1-1,src/parallel/naming.ts,,false,false,
SPEC-006-1-1,tests/parallel/naming.test.ts,,false,true,
SPEC-006-1-2,src/parallel/worktree-manager.ts,,false,false,
SPEC-006-1-2,src/parallel/events.ts,,false,false,
SPEC-006-1-2,tests/parallel/worktree-manager.test.ts,,false,true,
SPEC-006-1-3,src/parallel/state-persister.ts,,false,false,
SPEC-006-1-3,src/parallel/worktree-manager.ts,,false,false,
SPEC-006-1-3,tests/parallel/state-persister.test.ts,,false,true,
SPEC-006-1-3,tests/parallel/worktree-manager.test.ts,,false,true,
SPEC-006-2-1,src/parallel/types.ts,,false,false,
SPEC-006-2-1,src/parallel/dag-constructor.ts,,false,false,
SPEC-006-2-1,tests/parallel/dag-constructor.test.ts,,false,true,
SPEC-006-2-2,src/parallel/dag-constructor.ts,,false,false,
SPEC-006-2-2,tests/parallel/dag-constructor.test.ts,,false,true,
SPEC-006-2-3,src/parallel/scheduler.ts,,false,false,
SPEC-006-2-3,src/parallel/resource-monitor.ts,,false,false,
SPEC-006-2-3,tests/parallel/scheduler.test.ts,,false,true,
SPEC-006-2-4,tests/parallel/dag-constructor.test.ts,,false,true,
SPEC-006-2-4,tests/parallel/scheduler.test.ts,,false,true,
SPEC-006-3-1,src/parallel/types.ts,,false,false,
SPEC-006-3-1,src/parallel/agent-spawner.ts,,false,false,
SPEC-006-3-1,tests/parallel/agent-spawner.test.ts,,false,true,
SPEC-006-3-2,src/parallel/isolation-hook.ts,,false,false,
SPEC-006-3-2,src/parallel/agent-spawner.ts,,false,false,
SPEC-006-3-2,tests/parallel/isolation-hook.test.ts,,false,true,
SPEC-006-3-2,tests/parallel/agent-spawner.test.ts,,false,true,
SPEC-006-3-3,src/parallel/retry-handler.ts,,false,false,
SPEC-006-3-3,src/parallel/agent-spawner.ts,,false,false,
SPEC-006-3-3,tests/parallel/retry-handler.test.ts,,false,true,
SPEC-006-3-3,tests/parallel/agent-spawner.test.ts,,false,true,
SPEC-006-3-3,tests/parallel/isolation-hook.test.ts,,false,true,
SPEC-006-4-1,src/parallel/types.ts,,false,false,
SPEC-006-4-1,src/parallel/merge-engine.ts,,false,false,
SPEC-006-4-1,tests/parallel/merge-engine.test.ts,,false,true,
SPEC-006-4-2,src/parallel/conflict-classifier.ts,,false,false,
SPEC-006-4-2,src/parallel/conflict-resolver.ts,,false,false,
SPEC-006-4-2,tests/parallel/conflict-classifier.test.ts,,false,true,
SPEC-006-4-2,tests/parallel/conflict-resolver.test.ts,,false,true,
SPEC-006-4-3,src/parallel/conflict-resolver.ts,,false,false,
SPEC-006-4-3,src/parallel/merge-engine.ts,,false,false,
SPEC-006-4-3,tests/parallel/conflict-resolver.test.ts,,false,true,
SPEC-006-4-3,tests/parallel/merge-engine.test.ts,,false,true,
SPEC-006-4-4,src/parallel/contract-validator.ts,,false,false,
SPEC-006-4-4,tests/parallel/contract-validator.test.ts,,false,true,
SPEC-006-4-4,tests/parallel/merge-engine.test.ts,,false,true,
SPEC-006-4-4,tests/parallel/conflict-classifier.test.ts,,false,true,
SPEC-006-4-4,tests/parallel/conflict-resolver.test.ts,,false,true,
SPEC-006-5-1,src/parallel/events.ts,,false,false,
SPEC-006-5-1,src/parallel/progress-tracker.ts,,false,false,
SPEC-006-5-1,tests/parallel/progress-tracker.test.ts,,false,true,
SPEC-006-5-2,src/parallel/progress-tracker.ts,,false,false,
SPEC-006-5-2,src/parallel/integration-tester.ts,,false,false,
SPEC-006-5-2,tests/parallel/progress-tracker.test.ts,,false,true,
SPEC-006-5-2,tests/parallel/integration-tester.test.ts,,false,true,
SPEC-006-5-3,src/parallel/integration-tester.ts,,false,false,
SPEC-006-5-3,tests/parallel/integration-tester.test.ts,,false,true,
SPEC-007-1-1,.mcp.json,,false,false,
SPEC-007-1-1,.autonomous-dev/config/intelligence.yaml,,false,false,
SPEC-007-1-1,src/config/intelligence-config.ts,,false,false,
SPEC-007-1-1,src/config/intelligence-config.schema.ts,,false,false,
SPEC-007-1-1,src/runner/directory-bootstrap.ts,,false,false,
SPEC-007-1-1,tests/config/intelligence-config.test.ts,,false,true,
SPEC-007-1-1,tests/runner/directory-bootstrap.test.ts,,false,true,
SPEC-007-1-2,src/adapters/connectivity.ts,,false,false,
SPEC-007-1-2,src/adapters/query-budget.ts,,false,false,
SPEC-007-1-2,src/adapters/types.ts,,false,false,
SPEC-007-1-2,tests/adapters/connectivity.test.ts,,false,true,
SPEC-007-1-2,tests/adapters/query-budget.test.ts,,false,true,
SPEC-007-1-3,src/adapters/prometheus-adapter.ts,,false,false,
SPEC-007-1-3,src/adapters/opensearch-adapter.ts,,false,false,
SPEC-007-1-3,src/adapters/grafana-adapter.ts,,false,false,
SPEC-007-1-3,src/adapters/types.ts,,false,false,
SPEC-007-1-3,tests/adapters/prometheus-adapter.test.ts,,false,true,
SPEC-007-1-3,tests/adapters/opensearch-adapter.test.ts,,false,true,
SPEC-007-1-3,tests/adapters/grafana-adapter.test.ts,,false,true,
SPEC-007-1-4,src/runner/observation-runner.ts,,false,false,
SPEC-007-1-4,src/runner/run-id.ts,,false,false,
SPEC-007-1-4,src/runner/lock-manager.ts,,false,false,
SPEC-007-1-4,src/runner/audit-logger.ts,,false,false,
SPEC-007-1-4,src/adapters/mcp-error-handler.ts,,false,false,
SPEC-007-1-4,commands/observe.md,,false,false,
SPEC-007-1-4,tests/runner/observation-runner.test.ts,,false,true,
SPEC-007-1-4,tests/runner/lock-manager.test.ts,,false,true,
SPEC-007-1-4,tests/adapters/mcp-error-handler.test.ts,,false,true,
SPEC-007-1-4,tests/integration/full-collection-run.test.ts,,false,true,
SPEC-007-2-1,src/safety/pii-scrubber.ts,,false,false,
SPEC-007-2-1,src/safety/secret-detector.ts,,false,false,
SPEC-007-2-1,src/safety/entropy.ts,,false,false,
SPEC-007-2-1,src/safety/types.ts,,false,false,
